task_id,dataset_name,regime,tipo,model,split,auc_ovo,acc,g_mean,ce,time_seconds,error
363696,qsar-biodeg,medio,binario,mambular,test,,,,,421.51,"CUDA out of memory. Tried to allocate 656.00 MiB. GPU 0 has a total capacity of 11.49 GiB of which 648.81 MiB is free. Process 25190 has 28.84 MiB memory in use. Process 25342 has 15.09 MiB memory in use. Process 27293 has 76.66 MiB memory in use. Process 4610 has 7.34 MiB memory in use. Including non-PyTorch memory, this process has 9.45 GiB memory in use. Process 518938 has 47.59 MiB memory in use. Of the allocated memory 9.23 GiB is allocated by PyTorch, and 17.25 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
363696,qsar-biodeg,medio,binario,lightgbm,test,0.9570093457943925,0.9022082018927444,0.8719788584054134,0.2472465216228503,4.16,
363696,qsar-biodeg,medio,binario,lightgbm,train,0.9999587703674384,0.9986431478968792,0.997981834471692,0.0813766823667354,4.16,
363696,qsar-biodeg,medio,binario,catboost,test,0.9575878949710726,0.8990536277602523,0.8637999900358513,0.2574119744326793,60.99,
363696,qsar-biodeg,medio,binario,catboost,train,0.9959842337885084,0.9728629579375848,0.9664450817550638,0.1513333061099923,60.99,
363696,qsar-biodeg,medio,binario,xgboost,test,0.95491766800178,0.9085173501577288,0.873279349595481,0.2511869284180217,4.64,
363696,qsar-biodeg,medio,binario,xgboost,train,0.9982188798733423,0.9769335142469472,0.9673021902577936,0.114000938693172,4.64,
363696,qsar-biodeg,medio,binario,autogluon_default,test,0.955718736092568,0.9022082018927444,0.8659354691662218,0.2539296844849998,4.7,
363696,qsar-biodeg,medio,binario,autogluon_default,train,0.9857180552806912,0.9402985074626866,0.9274422280397536,0.1697324595391684,4.7,
363696,qsar-biodeg,medio,binario,autogluon_extreme,test,0.9533600356030264,0.889589905362776,0.848045476608468,0.2645030610754829,1226.36,
363696,qsar-biodeg,medio,binario,autogluon_extreme,train,0.9830051454581435,0.9240162822252376,0.9019113917595556,0.1936525506671142,1226.36,
363707,website_phishing,medio,multiclasse,mambular,test,0.9680626144283152,0.8793103448275862,0.8690925997776233,0.4086802634169504,522.61,
363707,website_phishing,medio,multiclasse,mambular,train,0.992078551072075,0.9503695881731784,0.957423598236127,0.1358558868451798,522.61,
363707,website_phishing,medio,multiclasse,lightgbm,test,0.9623929361140424,0.8669950738916257,0.7966187712365194,0.3154683822411153,8.97,
363707,website_phishing,medio,multiclasse,lightgbm,train,0.9976665604924128,0.966209081309398,0.9721821098748856,0.1111749388294741,8.97,
363707,website_phishing,medio,multiclasse,catboost,test,0.960206601760254,0.8645320197044335,0.8286153550454958,0.3356131780181303,11.65,
363707,website_phishing,medio,multiclasse,catboost,train,0.998153822724944,0.9704329461457232,0.9787944218991342,0.0953630619217352,11.65,
363707,website_phishing,medio,multiclasse,xgboost,test,0.9645823778219436,0.8694581280788177,0.8208652609558964,0.3103612720673922,5.44,
363707,website_phishing,medio,multiclasse,xgboost,train,0.9978256622680473,0.9683210137275609,0.9733704085575404,0.1175670962052706,5.44,
363707,website_phishing,medio,multiclasse,autogluon_default,test,0.9626693352623787,0.8866995073891626,0.872034796166049,0.6567049157194912,18.69,
363707,website_phishing,medio,multiclasse,autogluon_default,train,0.997963548836621,0.9619852164730728,0.9686944310725132,0.0942909002684233,18.69,
363707,website_phishing,medio,multiclasse,autogluon_extreme,test,0.9718627531406028,0.8891625615763546,0.8830743832529564,0.2874686331483018,1813.69,
363707,website_phishing,medio,multiclasse,autogluon_extreme,train,0.9973630160599116,0.9619852164730728,0.9681088441204612,0.1147135845478218,1813.69,
363671,Fitness_Club,medio,binario,mambular,test,0.8143265267890596,0.7844444444444445,0.7445002548349006,0.4659299666960196,376.85,
363671,Fitness_Club,medio,binario,mambular,train,0.8151828367185621,0.7790476190476191,0.7185693361928196,0.4730925220079093,376.85,
363671,Fitness_Club,medio,binario,lightgbm,test,0.8058495691270139,0.7666666666666667,0.6566588340064847,0.4855393710651006,3.75,
363671,Fitness_Club,medio,binario,lightgbm,train,0.8559086847441316,0.800952380952381,0.6953750166058797,0.4235233598193961,3.75,
363671,Fitness_Club,medio,binario,catboost,test,0.8128512551517422,0.7622222222222222,0.6504962511796675,0.4740888592919451,15.8,
363671,Fitness_Club,medio,binario,catboost,train,0.8601960683231948,0.7980952380952381,0.6906856033989348,0.4276721854217016,15.8,
363671,Fitness_Club,medio,binario,xgboost,test,0.8137176845260398,0.7644444444444445,0.6189336543524445,0.4863537760302384,2.12,
363671,Fitness_Club,medio,binario,xgboost,train,0.8480105337319999,0.7904761904761904,0.6460261037883502,0.4628861638645026,2.12,
363671,Fitness_Club,medio,binario,autogluon_default,test,0.8069970026227051,0.7711111111111111,0.6590082470000567,0.4811466466325454,4.11,
363671,Fitness_Club,medio,binario,autogluon_default,train,0.9259674536893838,0.8323809523809523,0.7355626024791222,0.3470089381367288,4.11,
363671,Fitness_Club,medio,binario,autogluon_extreme,test,0.8150524541026601,0.7622222222222222,0.6504962511796675,0.4712773309805859,1153.49,
363671,Fitness_Club,medio,binario,autogluon_extreme,train,0.844219335326666,0.799047619047619,0.6896118409545026,0.4381807861974673,1153.49,
363711,MIC,medio,multiclasse,mambular,test,,,,,0.3,0
363711,MIC,medio,multiclasse,lightgbm,test,0.685413571536238,0.8803921568627451,0.0,1.155199178954142,22.07,
363711,MIC,medio,multiclasse,lightgbm,train,1.0,1.0,1.0,4.730499013050376e-06,22.07,
363711,MIC,medio,multiclasse,catboost,test,0.701835189352945,0.8823529411764706,0.0,0.6950200193412508,80.45,
363711,MIC,medio,multiclasse,catboost,train,1.0,1.0,1.0,0.004457720133668,80.45,
363711,MIC,medio,multiclasse,xgboost,test,0.7003961992192511,0.884313725490196,0.0,0.49072532837143,16.81,
